keyword,category,categoryName,total,fetched,relevant
투팩,001001,상의>반소매 티셔츠,55,50,40
투팩,017016005,스포츠/레저>상의>반소매 티셔츠,1,1,1
2팩,001001,상의>반소매 티셔츠,1741,50,43
2팩,017016005,스포츠/레저>상의>반소매 티셔츠,324,50,24
2PACK,001001,상의>반소매 티셔츠,1688,50,43
2PACK,017016005,스포츠/레저>상의>반소매 티셔츠,324,50,24
